,____,___,__,____(¡C),____(¡C),____(¡C),_____(00~24h_)(mm),__ ___(MJ/m2)
439,___,__,May-09,17.3,30.5,4.4,99.9,603.39
440,___,__,Jun-09,20.5,30.3,10,203.1,575.38
441,___,__,Jul-09,22.8,31.2,14.9,539.3,498.82
442,___,__,Aug-09,23.5,33.2,11.8,432.1,457.9
443,___,__,Sep-09,18.7,28.7,8.8,17.5,474.79
444,___,__,Oct-09,12.5,25.8,-0.6,71.1,412.82
445,___,__,Nov-09,4.3,20,-10.1,34.9,222.11
446,___,__,Dec-09,-3.9,9.2,-19.8,23.5,242.96
447,___,__,Jan-10,-8.2,7,-26.8,29.4,275.92
448,___,__,Feb-10,-1.4,17.2,-15.8,50.8,283.79
449,___,__,Mar-10,2.5,14.2,-7,61.5,340.2
450,___,__,Apr-10,7.8,21.4,-4.1,51.7,496.93
451,___,__,May-10,16.2,28.6,1,97.7,590.16
452,___,__,Jun-10,22.1,32.8,6.1,123.1,654.64
453,___,__,Jul-10,24.8,32.1,18.2,347.6,486.42
454,___,__,Aug-10,25.3,32.9,17.7,574.7,392.61
455,___,__,Sep-10,19.8,31.1,4.2,461.3,389.2
456,___,__,Oct-10,11.9,24.1,-5.2,23,359.74
457,___,__,Nov-10,3.5,16.7,-8.8,21.9,327.5
458,___,__,Dec-10,-3.6,12.9,-19.5,24.8,260.76
459,___,__,Jan-11,-11.5,3.6,-24.3,8.1,323.41
460,___,__,Feb-11,-1.6,13.3,-14.5,26.3,301.32
461,___,__,Mar-11,2.1,18.1,-10.3,12.7,506.25
462,___,__,Apr-11,9.1,20.6,-2.7,86.7,498.13
463,___,__,May-11,16.7,30,5.3,102.1,542.02
464,___,__,Jun-11,21.3,33.2,12.3,299.5,574.98
465,___,__,Jul-11,24,32.3,17,738.5,369.52
466,___,__,Aug-11,24.4,34.3,15,200,455.54
467,___,__,Sep-11,18.8,30.1,5.6,41,413.33
468,___,__,Oct-11,10.9,21.9,-3.1,29.9,386.11
469,___,__,Nov-11,7.7,24,-8.8,100.4,221.21
470,___,__,Dec-11,-4.1,6.8,-17.3,11.1,249.34
471,___,__,Jan-12,-6.6,7.1,-18.8,7.4,274.42
472,___,__,Feb-12,-5.4,11.2,-24.6,1.8,379.33
473,___,__,Mar-12,2.8,17.5,-9.8,33.4,416.16
474,___,__,Apr-12,10.5,29.8,-5,146.5,509.1
475,___,__,May-12,17.5,29.6,5.6,24.3,576.84
476,___,__,Jun-12,22.2,33,13,108.7,476.08
477,___,__,Jul-12,23.8,31.8,17,227.7,498.49
478,___,__,Aug-12,24.8,34.3,16.4,466.7,376.94
479,___,__,Sep-12,18.3,28.6,6.7,114.1,410.86
480,___,__,Oct-12,12.1,25.4,-1.2,83.3,396.14
481,___,__,Nov-12,2.9,15.4,-8.8,63.8,263.84
482,___,__,Dec-12,-7.5,5.9,-21.7,40,241.25
483,___,__,Jan-13,-8.1,9.6,-25.8,19.1,267.98
484,___,__,Feb-13,-3.9,10.5,-21.8,53.9,350.35
485,___,__,Mar-13,3,22.4,-8,24,504.59
486,___,__,Apr-13,8.1,20.4,-3.4,64.6,498.62
487,___,__,May-13,16.9,30.5,5.1,84.6,598.7
488,___,__,Jun-13,22.8,32.7,12.7,23.3,545.6
489,___,__,Jul-13,24.6,31,19.8,1009.2,401.65
490,___,__,Aug-13,25.8,32.5,16.7,208.7,530.23
491,___,__,Sep-13,19.1,29.9,5.2,153.4,363.33
492,___,__,Oct-13,12.4,28.1,-1.4,20.7,360.84
493,___,__,Nov-13,3.1,20,-13.6,73.3,270.82
494,___,__,Dec-13,-3.8,9.1,-16.8,24.1,229.37
495,___,__,Jan-14,-3.4,6.7,-16,12.7,260.54
496,___,__,Feb-14,-1,15.8,-13.3,18,284.43
497,___,__,Mar-14,5.6,22.2,-10.4,7.1,425.97
498,___,__,Apr-14,12.3,25.3,-5.6,14,489.36
499,___,__,May-14,17.4,32.2,1.7,81.6,698.29
500,___,__,Jun-14,21.5,31.1,13.9,75.6,432.33
501,___,__,Jul-14,24.5,32.6,16.2,186.7,561.88
502,___,__,Aug-14,23.1,35.3,15,105,388.58
503,___,__,Sep-14,19.3,30.1,8.8,73,425.92
504,___,__,Oct-14,12.4,29,-2.4,55.4,353.93
505,___,__,Nov-14,5.6,21.2,-7.5,42.2,255.25
506,___,__,Dec-14,-5.9,7.1,-20.3,13.1,265.84
507,___,__,Jan-15,-4,8.1,-16.3,17,256.17
508,___,__,Feb-15,-1.3,11.9,-18.1,24,309.13
509,___,__,Mar-15,4,21.2,-9.8,7.8,504.38
510,___,__,Apr-15,11.3,28.9,-2.8,98.3,453.63
511,___,__,May-15,17.6,31.3,3,35.8,681.88
512,___,__,Jun-15,21.6,33,10.6,79.6,553.1
513,___,__,Jul-15,23.8,35.6,13.3,458,483.9
514,___,__,Aug-15,24.1,33.3,13.9,140.6,524.49
515,___,__,Sep-15,18.9,28.8,8.1,32.7,454.56
516,___,__,Oct-15,12.3,25.7,-4.9,64,416.45
517,___,__,Nov-15,6.6,18.1,-8,111.5,175.34
518,___,__,Dec-15,-1.2,10,-15.2,25.6,222.59
519,___,__,Jan-16,-6,8.2,-20.6,0.9,301.19
520,___,__,Feb-16,-2.2,14.6,-17,54.1,347.78
521,___,__,Mar-16,4.7,21.4,-13.4,45.2,452.05
522,___,__,Apr-16,12.6,25.6,-1.1,88.8,503.49
523,___,__,May-16,17.7,30.8,5.1,149.9,667.76
524,___,__,Jun-16,22.1,30.9,12,27.1,581.91
525,___,__,Jul-16,24.1,33.5,16.4,460.5,438.09
526,___,__,Aug-16,25.3,34.3,10.6,63.7,531.1
527,___,__,Sep-16,20.2,29.7,6.1,32.2,340.44
528,___,__,Oct-16,13.4,27.3,-4,173.1,307.355
529,___,__,Nov-16,4.3,18.6,-10.6,15.6,259.04
530,___,__,Dec-16,-1.4,11.8,-18.7,69.8,206.325
531,___,__,Jan-17,-4.4,9.9,-18.2,14.5,275.17
532,___,__,Feb-17,-2.6,10.6,-16.6,9.8,347.72
533,___,__,Mar-17,3.5,17.4,-9.4,21.5,437.31
534,___,__,Apr-17,12.1,26.6,-2.4,63.6,572.235
535,___,__,May-17,17.7,28.9,5.9,36,656.33
536,___,__,Jun-17,21.3,32,8.7,74.2,655.775
537,___,__,Jul-17,25.5,33.6,18.1,575.2,446.93
538,___,__,Aug-17,23.6,33.8,11.7,354.9,421.9
539,___,__,Sep-17,18.8,28.9,3.9,26.6,491.305
540,___,__,Oct-17,12.8,26.8,-4.8,10.8,337.55
541,___,__,Nov-17,2.7,18.2,-11.5,33.5,285.09
542,___,__,Dec-17,-4.9,8.5,-18.8,12.8,266.715
543,___,__,Jan-18,-7.3,7.7,-25.2,7.9,301.945
544,___,__,Feb-18,-4.4,9.8,-21.1,14.4,348.15
545,___,__,Mar-18,6.2,21.9,-10.8,33.6,439.78
546,___,__,Apr-18,11.2,27.1,-3.5,139.4,526.82
547,___,__,May-18,16.8,29.5,5.7,263.1,569.52
548,___,__,Jun-18,21.7,32.3,12,122.3,622.645
549,___,__,Jul-18,25.4,36,14.7,174.2,583.205
550,___,__,Aug-18,26.3,38.4,15.4,527,487.545
551,___,__,Sep-18,18.8,29.4,5.9,55.4,427.29
552,___,__,Oct-18,9.9,24.6,-3.3,74.8,365.97
553,___,__,Nov-18,4.5,18.6,-8.4,60.2,238.745
554,___,__,Dec-18,-4,11.4,-18.6,8.3,241.77
555,___,__,Jan-19,-4.9,7.6,-17.1,0,280.755
556,___,__,Feb-19,-1.7,13.2,-15.2,20.6,196.2
557,___,__,Mar-19,4.5,17.1,-7.9,23.3,449.07
558,___,__,Apr-19,9.9,27.6,-5.8,28,533.62
559,___,__,May-19,17.8,32.5,2.8,26.4,784.83
560,___,__,Jun-19,20.9,32.1,10.3,57.1,698.73
561,___,__,Jul-19,24.2,34.5,14.3,305.3,532.65
562,___,__,Aug-19,24.8,35.1,15.6,156.9,633.22
563,___,__,Sep-19,20,30.3,8.7,199.1,448.43
564,___,__,Oct-19,13.7,27.8,-0.9,30.8,413.23
565,___,__,Nov-19,4.5,20.8,-8.3,53,276.59
566,___,__,Dec-19,-1.1,11.3,-15.6,20,204.42
567,___,__,Jan-20,-1.2,11,-11.7,79.7,254.72
568,___,__,Feb-20,0,15.8,-17.7,46.8,295.28
569,___,__,Mar-20,5.5,19.9,-7.9,16.9,496.47
570,___,__,Apr-20,9.1,22.8,-5.2,20.9,600.33
571,___,__,May-20,16.9,28.8,5.6,161.7,564.06
572,___,__,Jun-20,22.5,33.6,12.7,92.2,644.17
573,___,__,Jul-20,22.8,31.7,15.3,184.5,515.01
574,___,__,Aug-20,25.1,34.9,18.7,903,343.97
575,___,__,Sep-20,18.8,30.1,7.8,166,429.74
576,___,__,Oct-20,10.9,23.1,-2.7,4.1,425.3
577,___,__,Nov-20,5,19.8,-8.9,72.3,271.99
578,___,__,Dec-20,-3.9,9.9,-18.8,1.2,257.41
579,___,__,Jan-21,-5.9,13.1,-22.4,7.6,261.89
580,___,__,Feb-21,0.1,17.3,-14.6,4.8,337.51
581,___,__,Mar-21,6.2,21.7,-7.8,103.7,469.76
582,___,__,Apr-21,12,28,-0.3,99.3,567.05
583,___,__,May-21,15.5,29.7,3.6,199.1,590.74
584,___,__,Jun-21,21.2,31.1,12.4,67.6,615.72
585,___,__,Jul-21,26.1,35.7,17.7,117.2,691.79
586,___,__,Aug-21,23.6,32.1,15.4,219.6,486.91
587,___,__,Sep-21,20.3,29.6,12.5,105.9,476.77
588,___,__,Oct-21,12.7,27.6,-2.6,128.3,355.35
589,___,__,Nov-21,5.3,20.1,-7.1,57.3,261.99
590,___,__,Dec-21,-2.1,11.1,-18,4.9,236.21
591,___,___,Jan-00,-3.3,10.3,-14.9,40.1,202.28
592,___,___,Feb-00,-3.1,8,-15.2,1.7,317.51
593,___,___,Mar-00,4.9,18.6,-9,5.5,455.28
594,___,___,Apr-00,10.5,22.1,-1.9,32.5,530.95
595,___,___,May-00,16.3,30.4,5.7,68.1,562.77
596,___,___,Jun-00,22.4,33.7,12.5,80.5,554.2
597,___,___,Jul-00,25.4,33.9,18.3,166,542.24
598,___,___,Aug-00,24.8,34.5,18.4,720.1,453.02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
